job_id system nodes time_req start_time stop_time
74141 Sierra 1024 2m 1331702404 1334646000
107014 Sierra 1024 2m 1332264004 1332278257
88545 Sierra 512 2m 1332048006 1332057166
128289 Sierra 32 2m 1332912002 1332912036
88538 Sierra 8 2m 1332048004 1332048016
82388 Sierra 8 2m 1331918401 1331918412
76102 Sierra 8 2m 1331745601 1331745633
115997 Sierra 1024 2m 1332566405 1332576171
124076 Sierra 64 2m 1332739203 1332739279
105510 Sierra 256 2m 1332220805 1332220846
69270 Sierra 32 2m 1331616002 1331616043
69273 Sierra 256 2m 1331616003 1331616097
86133 Sierra 512 2m 1332004803 1332017165
125682 Sierra 512 2m 1332782403 1332789238
123011 Sierra 128 2m 1332696003 1332697069
110188 Sierra 8 2m 1332393602 1332393611
127507 Sierra 256 2m 1332868803 1332889923
110192 Sierra 128 2m 1332393603 1332393613
81032 Sierra 512 2m 1331875204 1331876010
88540 Sierra 16 2m 1332048004 1332048017
123010 Sierra 64 2m 1332696002 1332696024
113856 Sierra 128 2m 1332480005 1332482555
115992 Sierra 32 2m 1332566404 1332566481
71544 Sierra 64 2m 1331659202 1331659235
69272 Sierra 128 2m 1331616002 1331616092
124080 Sierra 1024 2m 1332739204 1332770551
82392 Sierra 128 2m 1331918402 1331919413
126801 Sierra 1024 2m 1332825603 1332827667
117638 Sierra 64 2m 1332609603 1332609645
83610 Sierra 256 2m 1331961603 1331963504
103642 Sierra 32 2m 1332177602 1332177670
115993 Sierra 64 2m 1332566404 1332566481
117642 Sierra 1024 2m 1332609604 1332665189
107012 Sierra 256 2m 1332264003 1332264021
79587 Sierra 128 2m 1331832008 1331833615
81029 Sierra 64 2m 1331875203 1331875282
99494 Sierra 16 2m 1332134402 1332134469
88544 Sierra 256 2m 1332048006 1332051175
114656 Sierra 8 2m 1332523201 1332523242
76109 Sierra 1024 2m 1331745603 1331745643
112763 Sierra 64 2m 1332436802 1332436819
110194 Sierra 512 2m 1332393604 1332394157
117637 Sierra 32 2m 1332609602 1332609612
94071 Sierra 512 2m 1332091210 1332091244
105507 Sierra 32 2m 1332220804 1332220842
69275 Sierra 1024 2m 1331616003 1331616019
78468 Sierra 1024 2m 1331788804 1331788845
88541 Sierra 32 2m 1332048005 1332048092
582947 Hera 256 5hr 1333344003 1333349980
596879 Hera 128 5hr 1333948802 1333954184
591528 Hera 64 5hr 1333689638 1333693030
598490 Hera 128 5hr 1334035261 1334037080
591527 Hera 32 5hr 1333689620 1333690164
